Country,Gender,Year,OECD,Life_exp
Greece,Total,2016,True,81.5
Greece,Female,2017,True,83.9
Greece,Male,2017,True,78.8
Greece,Total,2017,True,81.4
Greece,Female,2018,True,84.4
Greece,Male,2018,True,79.3
Greece,Total,2018,True,81.9
Greece,Female,2019,True,84.2
Greece,Male,2019,True,79.2
Greece,Total,2019,True,81.7
Greece,Female,2020,True,83.9
Greece,Male,2020,True,78.8
Greece,Total,2020,True,81.4
Greece,Female,2021,True,82.9
Greece,Male,2021,True,77.4
Greece,Total,2021,True,80.2
Greece,Female,2022,True,83.4
Greece,Male,2022,True,78.3
Greece,Total,2022,True,80.8
Greece,Female,2023,True,84.2
Greece,Male,2023,True,79.0
Greece,Total,2023,True,81.6
Hungary,Female,2015,True,79.0
Hungary,Male,2015,True,72.3
Hungary,Total,2015,True,75.7
Hungary,Female,2016,True,79.7
Hungary,Male,2016,True,72.6
Hungary,Total,2016,True,76.2
Hungary,Female,2017,True,79.3
Hungary,Male,2017,True,72.5
Hungary,Total,2017,True,76.0
Hungary,Female,2018,True,79.6
Hungary,Male,2018,True,72.7
Hungary,Total,2018,True,76.2
Hungary,Female,2019,True,79.7
Hungary,Male,2019,True,73.1
Hungary,Total,2019,True,76.5
Hungary,Female,2020,True,79.0
Hungary,Male,2020,True,72.3
Hungary,Total,2020,True,75.7
Hungary,Female,2021,True,77.8
Hungary,Male,2021,True,70.7
Hungary,Total,2021,True,74.3
Hungary,Female,2022,True,79.3
Hungary,Male,2022,True,72.6
Hungary,Total,2022,True,76.0
Hungary,Female,2023,True,80.1
Hungary,Male,2023,True,73.6
Hungary,Total,2023,True,76.9
Iceland,Female,2015,True,83.8
Iceland,Male,2015,True,81.2
Iceland,Total,2015,True,82.5
Iceland,Female,2016,True,84.1
Iceland,Male,2016,True,80.4
Iceland,Total,2016,True,82.2
Iceland,Female,2017,True,84.3
Iceland,Male,2017,True,81.1
Iceland,Total,2017,True,82.6
Iceland,Female,2018,True,84.5
Iceland,Male,2018,True,81.3
Iceland,Total,2018,True,82.9
Iceland,Female,2019,True,84.7
Iceland,Male,2019,True,81.7
Iceland,Total,2019,True,83.2
Iceland,Female,2020,True,84.6
Iceland,Male,2020,True,81.6
Iceland,Total,2020,True,83.1
Iceland,Female,2021,True,84.6
Iceland,Male,2021,True,81.8
Iceland,Total,2021,True,83.2
Iceland,Female,2022,True,83.4
Iceland,Male,2022,True,80.9
Iceland,Total,2022,True,82.1
Iceland,Female,2023,True,84.4
Iceland,Male,2023,True,80.9
Iceland,Total,2023,True,82.6
India,Female,2015,False,71.1
India,Male,2015,False,68.3
India,Total,2015,False,69.6
India,Female,2016,False,71.5
India,Male,2016,False,68.8
India,Total,2016,False,70.1
India,Female,2017,False,71.9
India,Male,2017,False,69.2
India,Total,2017,False,70.5
India,Female,2018,False,72.1
India,Male,2018,False,69.4
India,Total,2018,False,70.7
India,Female,2019,False,72.4
India,Male,2019,False,69.5
India,Total,2019,False,70.9
India,Female,2020,False,71.8
India,Male,2020,False,68.6
India,Total,2020,False,70.2
India,Female,2021,False,68.9
India,Male,2021,False,65.8
India,Total,2021,False,67.2
India,Female,2022,False,69.4
India,Male,2022,False,66.3
India,Total,2022,False,67.7
Indonesia,Female,2015,False,71.6
Indonesia,Male,2015,False,67.8
Indonesia,Total,2015,False,69.7
Indonesia,Female,2016,False,71.8
Indonesia,Male,2016,False,67.9
Indonesia,Total,2016,False,69.8
Indonesia,Female,2017,False,71.9
Indonesia,Male,2017,False,68.0
Indonesia,Total,2017,False,69.9
Indonesia,Female,2018,False,72.4
Indonesia,Male,2018,False,68.3
Indonesia,Total,2018,False,70.3
Indonesia,Female,2019,False,72.6
Indonesia,Male,2019,False,68.5
Indonesia,Total,2019,False,70.5
Indonesia,Female,2020,False,71.0
Indonesia,Male,2020,False,66.7
Indonesia,Total,2020,False,68.8
Indonesia,Female,2021,False,69.7
Indonesia,Male,2021,False,65.5
Indonesia,Total,2021,False,67.6
Indonesia,Female,2022,False,70.4
Indonesia,Male,2022,False,66.2
Indonesia,Total,2022,False,68.3
Ireland,Female,2015,True,83.4
Ireland,Male,2015,True,79.6
Ireland,Total,2015,True,81.5
Ireland,Female,2016,True,83.6
Ireland,Male,2016,True,79.8
Ireland,Total,2016,True,81.7
Ireland,Female,2017,True,84.0
Ireland,Male,2017,True,80.4
Ireland,Total,2017,True,82.2
Ireland,Female,2018,True,84.1
Ireland,Male,2018,True,80.4
Ireland,Total,2018,True,82.2
Ireland,Female,2019,True,84.7
Ireland,Male,2019,True,80.8
Ireland,Total,2019,True,82.8
Ireland,Female,2020,True,84.4
Ireland,Male,2020,True,80.8
Ireland,Total,2020,True,82.6
Ireland,Female,2021,True,84.3
Ireland,Male,2021,True,80.5
Ireland,Total,2021,True,82.4
Ireland,Female,2022,True,84.2
Ireland,Male,2022,True,80.9
Ireland,Total,2022,True,82.6
Israel,Female,2015,True,84.1
Israel,Male,2015,True,80.1
Israel,Total,2015,True,82.2
Israel,Female,2016,True,84.2
Israel,Male,2016,True,80.7
Israel,Total,2016,True,82.5
Israel,Female,2017,True,84.6
Israel,Male,2017,True,80.6
Israel,Total,2017,True,82.7
Israel,Female,2018,True,84.8
Israel,Male,2018,True,80.9
Israel,Total,2018,True,82.9
Israel,Female,2019,True,84.7
Israel,Male,2019,True,81.0
Israel,Total,2019,True,82.9
Israel,Female,2020,True,84.8
Israel,Male,2020,True,80.6
Israel,Total,2020,True,82.7
Israel,Female,2021,True,84.6
Israel,Male,2021,True,80.5
